???,??,????(?)
??,Oct-13,15.5
??,Nov-13,6.7
??,Dec-13,1.3
??,Jan-14,-0.1
??,Feb-14,2.7
??,Mar-14,8.3
??,Apr-14,14.3
??,May-14,19.4
??,Jun-14,22.9
??,Jul-14,25.9
??,Aug-14,24.2
??,Sep-14,21.6
??,Oct-14,14.9
??,Nov-14,8.5
??,Dec-14,-1.3
??,Jan-15,0
??,Feb-15,1.9
??,Mar-15,7.2
??,Apr-15,13.3
??,May-15,19.5
??,Jun-15,23.4
??,Jul-15,25.4
??,Aug-15,26.4
??,Sep-15,21.7
??,Oct-15,15.5
??,Nov-15,10.1
??,Dec-15,3.1
??,Jan-16,-1.3
??,Feb-16,1.5
??,Mar-16,7.5
??,Apr-16,14.8
??,May-16,19.8
??,Jun-16,23.7
??,Jul-16,26.6
??,Aug-16,27.9
??,Sep-16,22.4
??,Oct-16,15.7
??,Nov-16,7.2
??,Dec-16,2.5
??,Jan-17,-0.4
??,Feb-17,1.2
??,Mar-17,6.8
??,Apr-17,14.5
??,May-17,19.6
??,Jun-17,23.3
??,Jul-17,27.1
??,Aug-17,26
??,Sep-17,21.1
??,Oct-17,15.4
??,Nov-17,6.4
??,Dec-17,-0.4
??,Jan-18,-2.5
??,Feb-18,-0.4
??,Mar-18,8.7
??,Apr-18,13.9
??,May-18,19.2
??,Jun-18,23.6
??,Jul-18,27.9
??,Aug-18,29
??,Sep-18,21.2
??,Oct-18,13
??,Nov-18,8
??,Dec-18,0.6
??,Jan-19,0
??,Feb-19,2
??,Mar-19,7.7
??,Apr-19,12.9
??,May-19,19.7
??,Jun-19,22.6
??,Jul-19,25.8
??,Aug-19,27.2
??,Sep-19,22.5
??,Oct-19,16.2
??,Nov-19,8.7
??,Dec-19,2.6
??,Jan-20,2.7
??,Feb-20,3.6
??,Mar-20,8.5
??,Apr-20,11.5
??,May-20,18.8
??,Jun-20,24.1
??,Jul-20,23.6
??,Aug-20,27.5
??,Sep-20,21.2
??,Oct-20,14.2
??,Nov-20,8.6
??,Dec-20,0.5
??,Jan-21,-1
??,Feb-21,4
??,Mar-21,9.6
??,Apr-21,14.7
??,May-21,17.7
??,Jun-21,23.5
??,Jul-21,27.8
??,Aug-21,25.8
??,Sep-21,22.4
??,Oct-21,15.7
??,Nov-21,8.9
??,Dec-21,1.9
??,Jan-22,-0.8
??,Feb-22,0.1
??,Mar-22,8.3
??,Apr-22,14.9
??,May-22,19.4
??,Jun-22,24.1
??,Jul-22,27
??,Aug-22,25.7
??,Sep-22,21.8
??,Oct-22,14.3
??,Nov-22,9.5
??,Dec-22,-2
??,Jan-23,-0.9
??,Feb-23,2.4
??,Mar-23,10.2
??,Apr-23,13.7
??,May-23,19
??,Jun-23,23.6
??,Jul-23,25.8
??,Aug-23,27
??,Sep-23,22.8
??,Oct-23,15
??,Nov-23,7.6
??,Dec-23,2.2
??,Jan-24,0.3
??,Feb-24,4.3
??,Mar-24,7.2
??,Apr-24,16.1
??,May-24,18.5
??,Jun-24,24
??,Jul-24,26.6
??,Aug-24,28.7
??,Sep-24,25.8
??,Oct-24,16.3
??,Nov-24,9.7
??,Dec-24,1.8
??,Jan-25,0.5
??,Feb-25,-0.1
??,Mar-25,8.6
??,Apr-25,14.4
??,May-25,18
??,Jan-02,4.8
??,Feb-02,6.6
??,Mar-02,10.7
??,Apr-02,14.4
??,May-02,17
??,Jun-02,20.9
??,Jul-02,24
??,Aug-02,24.2
??,Sep-02,21.7
??,Oct-02,16.4
??,Nov-02,8.8
??,Dec-02,6.5
??,Jan-03,2.5
??,Feb-03,6.3
??,Mar-03,8.6
??,Apr-03,13.8
??,May-03,16.9
??,Jun-03,20.8
??,Jul-03,21.3
??,Aug-03,24.1
??,Sep-03,22.5
??,Oct-03,16.6
??,Nov-03,13.1
??,Dec-03,5.2
??,Jan-04,2.8
??,Feb-04,6.6
??,Mar-04,8.8
??,Apr-04,14
??,May-04,17.3
??,Jun-04,21
??,Jul-04,24.2
??,Aug-04,25.2
??,Sep-04,22
??,Oct-04,16.8
??,Nov-04,12.5
??,Dec-04,7.4
??,Jan-05,2
??,Feb-05,2.5
??,Mar-05,7.1
??,Apr-05,14
??,May-05,17.1
??,Jun-05,21
??,Jul-05,23.8
??,Aug-05,25.8
??,Sep-05,22.8
??,Oct-05,17.1
??,Nov-05,11.6
??,Dec-05,1.2
??,Jan-06,3.9
??,Feb-06,4
??,Mar-06,8
??,Apr-06,12.2
??,May-06,16.3
??,Jun-06,20.3
??,Jul-06,22.6
??,Aug-06,27.5
??,Sep-06,21.3
??,Oct-06,20
??,Nov-06,13.1
??,Dec-06,6.6
??,Jan-07,5.2
??,Feb-07,7.9
??,Mar-07,9.1
??,Apr-07,13.2
??,May-07,17.8
??,Jun-07,20.5
??,Jul-07,22.8
??,Aug-07,26.7
??,Sep-07,22.9
??,Oct-07,18.3
??,Nov-07,11.9
??,Dec-07,7.3
??,Jan-08,4.7
??,Feb-08,3.8
??,Mar-08,9.5
??,Apr-08,13.9
??,May-08,17.4
??,Jun-08,19.7
??,Jul-08,25.6
??,Aug-08,25
??,Sep-08,22.9
??,Oct-08,19.1
??,Nov-08,11.6
??,Dec-08,6.6
??,Jan-09,3.5
??,Feb-09,8.3
??,Mar-09,9.8
??,Apr-09,14.3
??,May-09,18.6
??,Jun-09,21.4
??,Jul-09,23.3
??,Aug-09,25
??,Sep-09,22.7
??,Oct-09,18.8
??,Nov-09,11.1
??,Dec-09,5.4
??,Jan-10,3
??,Feb-10,5.8
??,Mar-10,7.8
??,Apr-10,11.5
??,May-10,17.2
??,Jun-10,22
??,Jul-10,25.2
??,Aug-10,27.9
??,Sep-10,24.1
??,Oct-10,18.2
??,Nov-10,11.3
??,Dec-10,5.2
??,Jan-11,-0.7
??,Feb-11,6.1
??,Mar-11,7.4
??,Apr-11,13.1
??,May-11,17.3
??,Jun-11,21.3
??,Jul-11,25.1
??,Aug-11,25.8
??,Sep-11,23.3
??,Oct-11,17.6
??,Nov-11,14.1
??,Dec-11,4.4
??,Jan-12,2.8
??,Feb-12,2.8
??,Mar-12,8.3
??,Apr-12,14
??,May-12,18.9
??,Jun-12,21.6
??,Jul-12,25.5
??,Aug-12,27.5
??,Sep-12,22.2
??,Oct-12,17.8
??,Nov-12,10.1
??,Dec-12,2.9
??,Jan-13,2.5
??,Feb-13,4.7
??,Mar-13,10.2
??,Apr-13,12.6
??,May-13,18.2
??,Jun-13,21.9
??,Jul-13,26.1
??,Aug-13,28
??,Sep-13,23.7
??,Oct-13,18.9
??,Nov-13,10.9
??,Dec-13,5.4
??,Jan-14,5
??,Feb-14,5.8
??,Mar-14,9.8
??,Apr-14,14.6
??,May-14,18.7
??,Jun-14,21.4
??,Jul-14,24.8
??,Aug-14,24.2
??,Sep-14,22.7
??,Oct-14,17.9
??,Nov-14,12.7
??,Dec-14,3.5
??,Jan-15,4.7
??,Feb-15,5.4
??,Mar-15,9.5
??,Apr-15,13.9
??,May-15,18.8
??,Jun-15,21
??,Jul-15,23.9
??,Aug-15,26.1
??,Sep-15,22.1
??,Oct-15,18.1
??,Nov-15,13.6
??,Dec-15,7.9
??,Jan-16,3.1
??,Feb-16,5.5
??,Mar-16,9.9
??,Apr-16,15.1
??,May-16,19.3
??,Jun-16,21.9
??,Jul-16,25.3
??,Aug-16,27.7
??,Sep-16,22.9
??,Oct-16,18.7
??,Nov-16,11.8
??,Dec-16,7.3
??,Jan-17,4.1
??,Feb-17,5.5
??,Mar-17,9
??,Apr-17,15
??,May-17,19
??,Jun-17,21.3
??,Jul-17,26.1
??,Aug-17,27
??,Sep-17,22.6
??,Oct-17,18.1
??,Nov-17,11.2
??,Dec-17,3.6
??,Jan-18,1.9
??,Feb-18,3.9
??,Mar-18,10
??,Apr-18,14.5
??,May-18,17.8
??,Jun-18,21.5
??,Jul-18,26.7
??,Aug-18,27.9
??,Sep-18,21.9
??,Oct-18,16.4
??,Nov-18,12.4
??,Dec-18,5.7
??,Jan-19,4.5
??,Feb-19,6.6
??,Mar-19,10.5
??,Apr-19,13.4
??,May-19,19.3
??,Jun-19,21.1
??,Jul-19,24.3
??,Aug-19,27
??,Sep-19,23.1
??,Oct-19,18.6
??,Nov-19,13
??,Dec-19,7
??,Jan-20,6.4
??,Feb-20,7.1
??,Mar-20,10.4
??,Apr-20,12.6
??,May-20,17.9
??,Jun-20,22.4
??,Jul-20,22.1
??,Aug-20,27.2
??,Sep-20,21.9
??,Oct-20,17.3
??,Nov-20,12.4
??,Dec-20,4.3
??,Jan-21,3.3
??,Feb-21,7.2
??,Mar-21,11.4
??,Apr-21,14.7
??,May-21,17.7
??,Jun-21,21.9
??,Jul-21,26.3
??,Aug-21,26.2
??,Sep-21,22.9
??,Oct-21,18.7
??,Nov-21,12.5
??,Dec-21,6
??,Jan-22,4
??,Feb-22,3.6
??,Mar-22,10.5
??,Apr-22,14.9
??,May-22,19
??,Jun-22,21.7
??,Jul-22,26.2
??,Aug-22,26.4
??,Sep-22,22.9
??,Oct-22,17.6
??,Nov-22,14.4
??,Dec-22,3.3
??,Jan-23,3.8
??,Feb-23,6.8
??,Mar-23,12.3
??,Apr-23,14.6
??,May-23,17.9
??,Jun-23,22.5
??,Jul-23,25.5
??,Aug-23,27.8
??,Sep-23,24.5
??,Oct-23,18.3
??,Nov-23,11.8
??,Dec-23,6.4
??,Jan-24,5.1
??,Feb-24,7.4
??,Mar-24,9.6
??,Apr-24,15.9
??,May-24,18.6
??,Jun-24,22.6
??,Jul-24,26
??,Aug-24,29.1
??,Sep-24,26.7
??,Oct-24,19.5
??,Nov-24,13.7
??,Dec-24,5.7
??,Jan-25,4
??,Feb-25,2.9
??,Mar-25,9.8
??,Apr-25,14
??,May-25,17.4
??,Jan-02,0.3
??,Feb-02,2.9
??,Mar-02,7.6
??,Apr-02,13.6
??,May-02,18.2
??,Jun-02,22.2
??,Jul-02,25.2
??,Aug-02,24.2
??,Sep-02,21.6
??,Oct-02,12.8
??,Nov-02,4
??,Dec-02,1.7
??,Jan-03,-2.5
??,Feb-03,2.7
??,Mar-03,6.5
??,Apr-03,13.2
??,May-03,19.6
??,Jun-03,21.5
??,Jul-03,23.8
??,Aug-03,24.1
??,Sep-03,20.9
??,Oct-03,13.9
??,Nov-03,9.5
??,Dec-03,0.7
??,Jan-04,-1.5
??,Feb-04,2.3
??,Mar-04,6.3
??,Apr-04,13.1
??,May-04,17.6
??,Jun-04,23.2
??,Jul-04,24.8
??,Aug-04,26.1
??,Sep-04,21.7
??,Oct-04,15.2
??,Nov-04,9.1
??,Dec-04,1.9
??,Jan-05,-2.5
??,Feb-05,-1.9
??,Mar-05,4.1
??,Apr-05,13.2
??,May-05,17.7
??,Jun-05,22.7
??,Jul-05,25.3
??,Aug-05,25.1
??,Sep-05,21.8
??,Oct-05,14.7
??,Nov-05,8.6
??,Dec-05,-3.9
??,Jan-06,-0.2
??,Feb-06,0.1
??,Mar-06,5.2
??,Apr-06,11.6
??,May-06,18.4
??,Jun-06,21.8
??,Jul-06,23.1
??,Aug-06,27
??,Sep-06,21.1
??,Oct-06,17.9
??,Nov-06,8.4
??,Dec-06,1.4
??,Jan-07,0.4
??,Feb-07,4
??,Mar-07,6.1
??,Apr-07,11.4
??,May-07,18.1
??,Jun-07,23.2
??,Jul-07,24.2
??,Aug-07,26.5
??,Sep-07,21.5
??,Oct-07,15.1
??,Nov-07,6.7
??,Dec-07,1.8
??,Jan-08,-1.7
??,Feb-08,-1.2
??,Mar-08,7.3
??,Apr-08,14.1
??,May-08,17.7
??,Jun-08,21.5
??,Jul-08,25.1
??,Aug-08,25.3
??,Sep-08,22
??,Oct-08,16.1
??,Nov-08,7.6
??,Dec-08,1.1
??,Jan-09,-2
??,Feb-09,2.9
??,Mar-09,6
??,Apr-09,12.7
??,May-09,19.1
??,Jun-09,22.4
??,Jul-09,24.3
??,Aug-09,25.7
??,Sep-09,21.8
??,Oct-09,16
??,Nov-09,6.9
??,Dec-09,-1
??,Jan-10,-4.5
??,Feb-10,1.4
??,Mar-10,4.3
??,Apr-10,9.5
??,May-10,17.2
??,Jun-10,23.4
??,Jul-10,25.8
??,Aug-10,26.5
??,Sep-10,21.8
??,Oct-10,14.5
??,Nov-10,6.5
??,Dec-10,-1.3
??,Jan-11,-7.2
??,Feb-11,1.2
??,Mar-11,3.6
??,Apr-11,10.7
??,May-11,17.9
??,Jun-11,22
??,Jul-11,24.6
??,Aug-11,25.8
??,Sep-11,21.8
??,Oct-11,14.2
??,Nov-11,10.7
??,Dec-11,-0.9
??,Jan-12,-2.8
??,Feb-12,-2
??,Mar-12,5.1
??,Apr-12,12.3
??,May-12,19.7
??,Jun-12,24.1
??,Jul-12,25.4
??,Aug-12,27.1
??,Sep-12,21
??,Oct-12,15.3
??,Nov-12,5.5
??,Dec-12,-4.1
??,Jan-13,-3.4
??,Feb-13,-1.2
??,Mar-13,5.1
??,Apr-13,10
??,May-13,18.2
??,Jun-13,24.4
??,Jul-13,25.5
??,Aug-13,27.7
??,Sep-13,21.8
??,Oct-13,15.8
??,Nov-13,6.2
??,Dec-13,-0.2
??,Jan-14,-0.7
??,Feb-14,1.9
??,Mar-14,7.9
??,Apr-14,14
??,May-14,18.9
??,Jun-14,23.1
??,Jul-14,26.1
??,Aug-14,25.2
??,Sep-14,22.1
??,Oct-14,15.6
??,Nov-14,9
??,Dec-14,-2.9
??,Jan-15,-0.9
??,Feb-15,1
??,Mar-15,6.3
??,Apr-15,13.3
??,May-15,18.9
??,Jun-15,23.6
??,Jul-15,25.8
??,Aug-15,26.3
??,Sep-15,22.4
??,Oct-15,15.5
??,Nov-15,8.9
??,Dec-15,1.6
??,Jan-16,-3.2
??,Feb-16,0.2
??,Mar-16,7
??,Apr-16,14.1
??,May-16,19.6
??,Jun-16,23.6
??,Jul-16,26.2
??,Aug-16,28
??,Sep-16,23.1
??,Oct-16,16.1
??,Nov-16,6.8
??,Dec-16,1.2
??,Jan-17,-1.8
??,Feb-17,-0.2
??,Mar-17,6.3
??,Apr-17,13.9
??,May-17,19.5
??,Jun-17,23.3
??,Jul-17,26.9
??,Aug-17,25.9
??,Sep-17,22.1
??,Oct-17,16.4
??,Nov-17,5.6
??,Dec-17,-1.9
??,Jan-18,-4
??,Feb-18,-1.6
??,Mar-18,8.1
??,Apr-18,13
??,May-18,18.2
??,Jun-18,23.1
??,Jul-18,27.8
??,Aug-18,28.8
??,Sep-18,21.5
??,Oct-18,13.1
??,Nov-18,7.8
??,Dec-18,-0.6
??,Jan-19,-0.9
??,Feb-19,1
??,Mar-19,7.1
??,Apr-19,12.1
??,May-19,19.4
??,Jun-19,22.5
??,Jul-19,25.9
??,Aug-19,27.2
??,Sep-19,22.6
??,Oct-19,16.4
??,Nov-19,7.6
??,Dec-19,1.4
??,Jan-20,1.6
??,Feb-20,2.5
??,Mar-20,7.7
??,Apr-20,11.1
??,May-20,18
??,Jun-20,23.9
??,Jul-20,24.1
??,Aug-20,26.5
??,Sep-20,21.4
??,Oct-20,14.3
??,Nov-20,8
??,Dec-20,-0.3
??,Jan-21,-2.4
??,Feb-21,2.7
??,Mar-21,9
??,Apr-21,14.2
??,May-21,17.1
??,Jun-21,22.8
??,Jul-21,28.1
??,Aug-21,25.9
??,Sep-21,22.6
??,Oct-21,15.6
??,Nov-21,8.2
??,Dec-21,0.6
??,Jan-22,-2.2
??,Feb-22,-1.1
??,Mar-22,7.7
??,Apr-22,14.8
??,May-22,19.1
??,Jun-22,23.3
??,Jul-22,27.3
??,Aug-22,25.7
??,Sep-22,22.4
??,Oct-22,14.6
??,Nov-22,10
??,Dec-22,-2.8
??,Jan-23,-1.5
??,Feb-23,2.3
??,Mar-23,9.8
??,Apr-23,13.8
??,May-23,19.5
??,Jun-23,23.4
??,Jul-23,26.7
??,Aug-23,27.2
??,Sep-23,23.7
??,Oct-23,15.8
??,Nov-23,6.8
??,Dec-23,1.1
??,Jan-24,-0.5
??,Feb-24,3.8
??,Mar-24,7
??,Apr-24,16.3
??,May-24,18.5
??,Jun-24,24.6
??,Jul-24,26.6
??,Aug-24,29.3
??,Sep-24,25.5
??,Oct-24,16.7
??,Nov-24,9.7
??,Dec-24,0.8
??,Jan-25,-0.4
??,Feb-25,-1.2
??,Mar-25,8
??,Apr-25,13.4
??,May-25,17.8
??,Jan-02,4.5
??,Feb-02,5.8
??,Mar-02,10.5
??,Apr-02,14.8
??,May-02,17.4
??,Jun-02,21.8
??,Jul-02,24.7
??,Aug-02,24.5
??,Sep-02,20.7
??,Oct-02,15.2
??,Nov-02,7.9
??,Dec-02,5.3
??,Jan-03,1.5
??,Feb-03,5
??,Mar-03,8
??,Apr-03,14.1
??,May-03,17.1
??,Jun-03,21.9
??,Jul-03,22.3
??,Aug-03,25
??,Sep-03,22.7
??,Oct-03,16.1
??,Nov-03,12.7
??,Dec-03,4.9
??,Jan-04,2.4
??,Feb-04,6.1
??,Mar-04,8.9
??,Apr-04,15.1
??,May-04,19.1
??,Jun-04,22
??,Jul-04,26.8
??,Aug-04,25.5
??,Sep-04,21.9
??,Oct-04,16.3
??,Nov-04,12
??,Dec-04,6.6
??,Jan-05,2
??,Feb-05,2.6
??,Mar-05,7.4
??,Apr-05,15.1
??,May-05,17.9
??,Jun-05,23.3
??,Jul-05,25.5
??,Aug-05,26.3
??,Sep-05,22.5
??,Oct-05,16.5
??,Nov-05,10.7
??,Dec-05,1.2
??,Jan-06,3.6
??,Feb-06,4.1
??,Mar-06,8.4
??,Apr-06,13
??,May-06,17.5
??,Jun-06,21.8
??,Jul-06,23.7
??,Aug-06,27.3
??,Sep-06,20.5
??,Oct-06,18.6
??,Nov-06,11.4
??,Dec-06,5.1
??,Jan-07,4.8
??,Feb-07,7.1
??,Mar-07,8.8
??,Apr-07,13.5
??,May-07,18.8
??,Jun-07,21.7
??,Jul-07,24
??,Aug-07,27.5
??,Sep-07,22.1
??,Oct-07,16.7
??,Nov-07,9.6
??,Dec-07,5.4
??,Jan-08,2.5
??,Feb-08,2.3
??,Mar-08,8.5
??,Apr-08,13.8
??,May-08,17.7
??,Jun-08,19.8
??,Jul-08,26.9
??,Aug-08,24.8
??,Sep-08,21.8
??,Oct-08,17.4
??,Nov-08,10
??,Dec-08,4.5
??,Jan-09,1.5
??,Feb-09,6.7
??,Mar-09,8.8
??,Apr-09,13.9
??,May-09,18.8
??,Jun-09,22.2
??,Jul-09,23.3
??,Aug-09,24.2
??,Sep-09,21.4
??,Oct-09,17
??,Nov-09,9.6
??,Dec-09,3.9
??,Jan-10,1.5
??,Feb-10,4.4
??,Mar-10,7
??,Apr-10,10.8
??,May-10,17.6
??,Jun-10,22.2
??,Jul-10,25.4
??,Aug-10,27.8
??,Sep-10,22.7
??,Oct-10,16.6
??,Nov-10,9
??,Dec-10,3.3
??,Jan-11,-1.9
??,Feb-11,4.3
??,Mar-11,6.7
??,Apr-11,12.6
??,May-11,17.2
??,Jun-11,22
??,Jul-11,25.2
??,Aug-11,25.3
??,Sep-11,21.8
??,Oct-11,15.8
??,Nov-11,12.3
??,Dec-11,3.2
??,Jan-12,1.6
??,Feb-12,1.5
??,Mar-12,7.5
??,Apr-12,14.1
??,May-12,18.4
??,Jun-12,21.2
??,Jul-12,26.1
??,Aug-12,26.8
??,Sep-12,21.1
??,Oct-12,16.1
??,Nov-12,8.9
??,Dec-12,1.3
??,Jan-13,0.9
??,Feb-13,3.4
??,Mar-13,9.4
??,Apr-13,12.1
??,May-13,18.4
??,Jun-13,22
??,Jul-13,27.8
??,Aug-13,29
??,Sep-13,22.8
??,Oct-13,17.7
??,Nov-13,9.8
??,Dec-13,4.3
??,Jan-14,3.9
??,Feb-14,4.8
??,Mar-14,9.5
??,Apr-14,14.4
??,May-14,19.9
??,Jun-14,21.7
??,Jul-14,25.9
??,Aug-14,24.3
??,Sep-14,21.9
??,Oct-14,16.7
??,Nov-14,11.3
??,Dec-14,2.6
??,Jan-15,3.5
??,Feb-15,4.5
??,Mar-15,8.9
??,Apr-15,13.8
??,May-15,20
??,Jun-15,21.5
??,Jul-15,24.4
??,Aug-15,26.4
??,Sep-15,21.1
??,Oct-15,16.6
??,Nov-15,12.4
??,Dec-15,6.5
??,Jan-16,1.8
??,Feb-16,4.8
??,Mar-16,9.2
??,Apr-16,14.3
??,May-16,18.9
??,Jun-16,22
??,Jul-16,25.3
??,Aug-16,26.4
??,Sep-16,21.7
??,Oct-16,17.2
??,Nov-16,10.1
??,Dec-16,6.1
??,Jan-17,2.8
??,Feb-17,4.4
??,Mar-17,8
??,Apr-17,15.1
??,May-17,19.6
??,Jun-17,21.2
??,Jul-17,27.1
??,Aug-17,25.9
??,Sep-17,21.3
??,Oct-17,17
??,Nov-17,9.8
??,Dec-17,2.3
??,Jan-18,0.7
??,Feb-18,2.6
??,Mar-18,9.5
??,Apr-18,14.5
??,May-18,18.1
??,Jun-18,21.6
??,Jul-18,26.8
??,Aug-18,27
??,Sep-18,21.1
??,Oct-18,15.1
??,Nov-18,10.7
??,Dec-18,4.1
??,Jan-19,3.5
??,Feb-19,5.1
??,Mar-19,9.9
??,Apr-19,12.8
??,May-19,19.7
??,Jun-19,20.7
??,Jul-19,24.8
??,Aug-19,26.4
